url,status,http_status,final_url,attempts_used,elapsed_seconds,sample_sha256,error,owners,previous_status,changed_since_prior_audit
http://mississippihoney.com/,reachable,200,https://mississippihoney.com/,1,1.234,925a0bf43cd57f673f73620520dcae23840a92ed7326f2af63064da0ccf0c19e,,ms_staging:185:Pennington Farms Honey,,False
http://simmonscatfish.com,reachable,200,https://www.simmonscatfish.com/,1,1.473,2e90b05e32043a90c1af4b3a64e4a1e9dc8b3018fbad4dd9e7a47fa66bb76077,,ms_staging:219:Simmons Farm Raised Catfish,,False
http://stormycreekcottage.square.site/,reachable,200,https://stormycreekcottage.square.site/,1,0.447,d51c790f7ad19a94178997bb41d0e0e2b358f872d5d47cd36b6e3ccde342b2f8,,ms_staging:228:Stormy Creek Cottage LLC,,False
http://twobrooksfarm.com,reachable,200,https://twobrooksfarm.com/,1,0.201,cffa89aa8a36cbd94b23c94a5e15fcaef6891e1a5b2c5a1263398357e652d472,,ms_staging:248:Two Brooks Farm,,False
http://twodogfarms.org,reachable,206,http://twodogfarms.org,1,0.055,be6273bcc1edee623e4ce2dd19628715a4ab7a9bddd8411cf84d0850d436e338,,canonical:104:Two Dog Farms | ms_staging:250:Two Dog Farms,,False
http://www.deltapride.com/,reachable,200,https://deltapride.com/,1,0.396,e329cf9855513b3a827168690b99c8af0168c45e977b50ba6de53aa633d3705a,,ms_staging:77:Delta Pride Catfish,,False
http://www.eubanksproduce.com/,reachable,200,https://www.eubanksproduce.com/,1,1.365,77e5023a310f2f6e26fb9275d8d766e79c6cae23dee5efe6497033089c29980d,,canonical:101:Eubanks Produce | ms_staging:89:Eubanks Produce,,False
http://www.facebook.com/TickCreekFarm,reachable,200,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FTickCreekFarm,1,0.31,02aa549daa80cdc7d36fce863cd950b4acba5f91ed9f63148e7e474f121aec3d,,"ms_staging:244:Tick Creek Farm, LLC",,False
http://www.fulmersfarmstead.com/,reachable,206,https://www.fulmersfarmstead.com/,1,0.133,2c59ef5e2ed19a8ff87b16e3f32eae33a97637fd79ec71b3b8632106e9cc92ef,,ms_staging:100:Fulmers Farmstead and General Store,,False
http://www.heartlandcatfish.com,reachable,200,https://www.heartlandcatfish.com/,1,0.731,20da421359793a1e20962dc44c4bea4a30569ddae73ed04361a0e85a288c3281,,ms_staging:112:Heartland Catfish Company,,False
http://www.livingstonspringsfarm.com/,reachable,206,https://www.livingstonspringsfarm.com/,1,0.3,38acc68efb41fe2ceee30f333b3548331895fd92e17393f543fcd563f9bd0ca7,,canonical:93:Livingston Springs Farm | ms_staging:148:Livingston Springs Farm,,False
https://agnet.mdac.ms.gov/MarketPortal/MarketPortal,reachable,200,https://agnet.mdac.ms.gov/MarketPortal/MarketPortal,1,0.176,5c1ac9393198a5c825054292d1c0a6140d6a418373e0d9238fc8ef875999effa,,"ms_staging:107:Granny Springs Farm | ms_staging:146:Little Lapp Farm | ms_staging:5:61 Farms LLP | ms_staging:7:A Cut Above Processing and Meat Market, LLC",,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=1,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=1,1,0.258,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:12:Amorphous Gardens,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=111,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=111,1,0.244,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:121:Homestead Farms,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=125,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=125,1,0.243,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:96:Foot Print Farms,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=146,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=146,1,0.261,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:145:Little Bluestem Farm,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=15,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=15,1,0.251,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:233:T & R Dairy,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=154,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=154,1,0.271,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:229:Sumrall Farms,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=17,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=17,1,0.262,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:252:Viking Honey®,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=181,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=181,1,0.469,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:209:SARAH'S FARM,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=238,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=238,1,0.288,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:4:5D Natural Farms,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=255,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=255,1,0.33,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:84:Dutch Creek Goat Farm,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=260,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=260,1,0.291,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:128:JD Farms & Pearl River Tea Co.,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=272,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=272,1,0.283,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:98:Fresh Grown Farm,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=275,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=275,1,0.278,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:28:BeeTree Meadows,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=277,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=277,1,0.271,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,"ms_staging:195:Reaper's Suburban Homestead, LLC",,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=280,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=280,1,0.299,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:10:Amason Farms,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=281,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=281,1,0.262,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:94:Flavourful Fungi,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=31,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=31,1,0.266,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:70:COOPER FARMS & VINEYARD,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=34,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=34,1,0.267,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:86:Ellis Farms,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=4,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=4,1,0.297,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:117:High Heeled Hippie,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=46,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=46,1,0.291,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:250:Two Dog Farms,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=50,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=50,1,0.261,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:15:Artillery Ridge Growers,,False
https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=90,reachable,200,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView?PassedID=90,1,0.255,8d1991a00f630d538c66f5b4550cd805316a84940621c2622afcd1daf24e647d,,ms_staging:79:DONNA CORKERN,,False
https://app.barn2door.com/grazingwayfarm/all,reachable,200,https://app.barn2door.com/grazingwayfarm/all,1,0.395,5a2f8cd151ab176c4c1a4291fa148589fbed10ce39fb4b04cc355a77fad373a7,,ms_staging:108:Grazing Way Farm,,False
https://basspecantrees.com/,reachable,200,https://pecanhillfarms.net/,1,0.454,5fcf4e8e6656161a76a02b52e260c84c1aa2e091c3e0249e4a0bf5daaff36557,,canonical:298:Bass Pecan Company | ms_staging:22:Bass Pecan Company,,False
https://beccasbloomsfloralflowerpreservation.com/,reachable,200,https://beccasbloomsfloralflowerpreservation.com/,1,0.171,21a8d0d05581bbcb397513224a44cccf315abb1035c6143dddedcb32b1db9076,,ms_staging:25:Becca’s Blooms Floral Flower Preservation,,False
https://bigmanfarm.com/,reachable,206,https://bigmanfarm.com/,1,4.8,32f0c3ed175f4896a59e0ea8ad5523695ba8a699a94016ceae3e3a33ae34a39b,,ms_staging:165:Morris Watermelon Farm LLC,,False
https://blueharvestfarms.com,unreachable_after_3_attempts,0,,3,0,,attempt 1: HTTP 522 | attempt 2: HTTP 522 | attempt 3: HTTP 522,canonical:38:Blue Harvest Farms,,False
https://breckenridgefarms.net,reachable,200,https://breckenridgefarms.net,1,0.107,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,,ms_staging:47:Breckenridge Farms,,False
https://breezyoaksranch.com,reachable,200,https://breezyoaksranch.com,1,0.226,9bbdf6eb98d0f0e4413e7d1424608444d5dfce5c811e03f690a700775ab4f6ae,,ms_staging:48:Breezy Oaks Ranch,,False
https://brookshirefarm.com,reachable,200,https://brookshirefarm.com,1,0.202,4f969f8b6946cd44b875732a76a6aca250f4c615233f9be79c3e64ba58c5d6f0,,canonical:59:Brookshire Farm,,False
https://butterfieldfarms.net,reachable,206,https://www.butterfieldfarms.net/,1,0.182,52507c40e4b1b9e2b063e5597848f70d80606970adb08af07a3fd4b35ddfb4eb,,canonical:233:Butterfield Farm,,False
https://credofarms.com,reachable,200,https://credofarms.com,1,0.076,76f2bc41d8d3ad616870f31e26d0939af5554d146fec34f611755f341a04be50,,canonical:3:Credo Farms,,False
https://dowdlefamilyfarms.com,reachable,206,https://www.dowdlefamilyfarms.com/,1,0.21,d462d849820e70e24ed36f5e0127f7a0afa124551e6722edfe5b1d89bf8e3476,,canonical:307:Dowdle Family Farms | ms_staging:80:Dowdle Family Farms,,False
https://dunsfieldheidrunfarm.square.site/,reachable,200,https://dunsfieldheidrunfarm.square.site/,1,0.342,06873a8b9f6eb436215dfc16f233c4a3f3692d7b1c4f4d30c9c0cbbfd9c7620e,,canonical:89:Dunsfield Heidrun Farm | ms_staging:83:Dunsfield Heidrun Farm,,False
https://facebook.com/southernstatearena,reachable,200,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fsouthernstatearena,1,0.353,478c16c26c1a363b9c5dbda6fa0f6852d4f9d48a75b4ae5e09830aa13aeeba22,,ms_staging:149:Lloyd Farms Corriente Cattle Co,,False
https://footprintfarmsms.com/,reachable,200,https://footprintfarmsms.com/,1,0.259,b462d3340a0a04f0fafc5403528732c4ab8fb775b296cf4f1c973b2b34a8dcc5,,ms_staging:96:Foot Print Farms,,False
